chr1	121533434	121535434
chr2	92324171	92326171
chr3	90502854	90504854
chr4	49658117	49660117
chr5	46403641	46405641
chr6	58828166	58830166
chr7	58052331	58054331
chr8	43836887	43838887
chr9	47365679	47367679
chrX	58630012	58632012
chrY	10102553	10104553
chr10	39252935	39254935
chr11	51642205	51644205
chr12	34854694	34856694
chr13	15998000	16000000
chr14	15998000	16000000
chr15	16998000	17000000
chr16	35333801	35335801
chr17	22261006	22263006
chr18	15458898	15460898
chr19	24679782	24681782
chr20	26367569	26369569
chr21	11286129	11288129
chr22	12998000	13000000
